Male,151-180km,Forties,20 to 25 hours,Finished back of the front,Cool,Flat
Male,151-180km,Thirties,20 to 25 hours,Finished back of the front,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished back of the front,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished back of the front,Cool,Flat
Female,151-180km,Thirties,20 to 25 hours,Finished back of the front,Cool,Flat
Female,151-180km,Thirties,20 to 25 hours,Finished back of the front,Cool,Flat
Female,151-180km,Sixties,20 to 25 hours,Finished back of the front,Cool,Flat
Female,151-180km,Thirties,20 to 25 hours,Finished back of the front,Cool,Flat
Female,151-180km,Forties,20 to 25 hours,Finished back of the front,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished back of the front,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished back of the front,Cool,Flat
Female,151-180km,Thirties,20 to 25 hours,Finished back of the front,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Thirties,20 to 25 hours,Finished at the middle,Cool,Flat
Female,151-180km,Thirties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Sixties,20 to 25 hours,Finished at the middle,Cool,Flat
Female,151-180km,Forties,20 to 25 hours,Finished at the middle,Cool,Flat
Female,151-180km,Fifties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Thirties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished at the middle,Cool,Flat
Female,151-180km,Forties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Sixties,20 to 25 hours,Finished at the middle,Cool,Flat
Female,151-180km,Thirties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished at the middle,Cool,Flat
Female,151-180km,Fifties,20 to 25 hours,Finished at the middle,Cool,Flat
Female,151-180km,Forties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Thirties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Sixties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished at the middle,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished towards the back,Cool,Flat
Female,151-180km,Forties,20 to 25 hours,Finished towards the back,Cool,Flat
Female,151-180km,Forties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Thirties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Thirties,20 to 25 hours,Finished towards the back,Cool,Flat
Female,151-180km,Thirties,20 to 25 hours,Finished towards the back,Cool,Flat
Female,151-180km,Thirties,20 to 25 hours,Finished towards the back,Cool,Flat
Female,151-180km,Forties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Fifties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Sixties,20 to 25 hours,Finished towards the back,Cool,Flat
Male,151-180km,Forties,20 to 25 hours,Finished towards the back,Cool,Flat
