Event number of finishers,age_at_race,hours,avgtemp,Elevation gain
109.0,61.0,20.755,19.0,3200.0
141.0,34.0,11.725277777777778,19.0,10000.0
92.0,55.0,12.203888888888889,15.0,4000.0
170.0,59.0,14.589444444444444,26.0,10000.0
96.0,32.0,9.650833333333331,12.0,4000.0
77.0,54.0,17.345,29.0,5600.0
161.0,49.0,18.24944444444445,24.0,3200.0
140.0,37.0,12.758333333333333,22.0,6000.0
109.0,56.0,10.096388888888889,17.0,4000.0
130.0,51.0,15.37888888888889,25.0,10000.0
109.0,43.0,18.182777777777776,19.0,3200.0
189.0,56.0,13.15,21.0,6000.0
108.0,47.0,14.483055555555556,22.0,6000.0
197.0,39.0,19.036666666666665,18.0,3200.0
72.0,59.0,20.203333333333333,16.0,11000.0
170.0,32.0,15.613333333333332,26.0,10000.0
201.0,41.0,15.2325,23.0,10000.0
103.0,33.0,13.0225,13.0,4000.0
103.0,48.0,9.841388888888888,13.0,4000.0
61.0,56.0,16.584722222222222,21.0,9000.0
140.0,37.0,11.643055555555556,19.0,10000.0
160.0,51.0,13.07638888888889,21.0,6000.0
138.0,40.0,10.530833333333334,23.0,6000.0
78.0,27.0,11.7175,19.0,4000.0
83.0,46.0,22.31222222222222,25.0,3200.0
199.0,27.0,11.298055555555557,24.0,3200.0
20.0,50.0,15.927777777777775,22.0,9000.0
54.0,36.0,18.986666666666668,21.0,11000.0
61.0,38.0,15.09388888888889,21.0,9000.0
100.0,73.0,15.396666666666668,4.0,4000.0
103.0,42.0,12.103333333333332,17.0,3200.0
151.0,40.0,15.873055555555556,23.0,6000.0
140.0,34.0,16.264444444444443,22.0,6000.0
221.0,31.0,19.629444444444445,22.0,3200.0
156.0,20.0,8.166666666666666,23.0,6000.0
82.0,45.0,16.724444444444444,10.0,11000.0
138.0,21.0,12.262777777777778,23.0,6000.0
197.0,49.0,27.322777777777777,18.0,3200.0
172.0,35.0,12.103055555555557,22.0,10000.0
72.0,49.0,19.281388888888888,16.0,11000.0
197.0,43.0,15.66388888888889,18.0,3200.0
66.0,46.0,21.430833333333332,15.0,11000.0
50.0,57.0,17.05638888888889,18.0,9000.0
143.0,53.0,15.161944444444444,27.0,10000.0
83.0,35.0,18.569444444444443,28.0,5600.0
103.0,43.0,22.736666666666668,17.0,3200.0
201.0,56.0,12.893888888888888,23.0,10000.0
109.0,32.0,18.5475,19.0,3200.0
67.0,63.0,17.982777777777777,17.0,9000.0
146.0,52.0,11.094444444444443,21.0,6000.0
108.0,43.0,14.054722222222225,22.0,6000.0
91.0,30.0,12.031944444444443,28.0,5600.0
100.0,43.0,10.073611111111113,4.0,4000.0
146.0,54.0,13.983611111111111,21.0,6000.0
193.0,49.0,17.2425,23.0,3200.0
63.0,41.0,12.088333333333331,21.0,9000.0
172.0,34.0,15.667222222222222,22.0,10000.0
109.0,48.0,13.601666666666668,17.0,4000.0
159.0,34.0,16.526944444444446,22.0,3200.0
108.0,44.0,10.029166666666669,22.0,6000.0
76.0,54.0,17.665555555555557,9.0,11000.0
91.0,51.0,15.865555555555556,28.0,5600.0
43.0,41.0,15.249444444444444,23.0,3200.0
161.0,37.0,14.643333333333333,24.0,3200.0
141.0,59.0,16.504444444444445,19.0,10000.0
140.0,41.0,12.700555555555557,22.0,6000.0
221.0,36.0,13.0825,22.0,3200.0
154.0,56.0,11.856111111111112,24.0,10000.0
97.0,39.0,14.295555555555556,28.0,5600.0
26.0,59.0,20.787222222222223,23.0,6000.0
50.0,51.0,22.775555555555556,18.0,11000.0
67.0,46.0,17.82638888888889,17.0,9000.0
83.0,30.0,16.14,28.0,5600.0
151.0,29.0,9.813888888888888,23.0,6000.0
109.0,49.0,10.739444444444445,17.0,4000.0
124.0,57.0,10.658888888888889,9.0,4000.0
96.0,33.0,9.741388888888888,12.0,4000.0
99.0,31.0,10.169444444444444,18.0,4000.0
199.0,37.0,19.094444444444445,24.0,3200.0
121.0,39.0,12.209722222222222,18.0,10000.0
68.0,32.0,14.488333333333332,22.0,9000.0
89.0,44.0,12.084722222222222,23.0,6000.0
100.0,35.0,8.557777777777778,4.0,4000.0
193.0,33.0,14.661388888888888,23.0,3200.0
126.0,32.0,14.910833333333333,15.0,3200.0
156.0,38.0,16.875555555555554,23.0,6000.0
100.0,58.0,14.3975,4.0,4000.0
109.0,44.0,12.990277777777775,19.0,3200.0
68.0,32.0,15.848888888888888,22.0,9000.0
166.0,51.0,15.468055555555557,24.0,10000.0
24.0,64.0,17.964166666666667,17.0,6000.0
164.0,43.0,12.188333333333333,26.0,6000.0
156.0,41.0,11.99,23.0,6000.0
166.0,70.0,15.481111111111112,24.0,10000.0
201.0,32.0,11.930833333333334,23.0,10000.0
97.0,47.0,19.159444444444443,28.0,5600.0
92.0,30.0,11.333055555555555,15.0,4000.0
151.0,58.0,13.09027777777778,23.0,6000.0
79.0,53.0,18.98638888888889,9.0,11000.0
96.0,33.0,12.280277777777778,12.0,4000.0
80.0,53.0,13.775,28.0,5600.0
103.0,50.0,12.221111111111112,13.0,4000.0
43.0,64.0,18.328611111111112,23.0,3200.0
121.0,42.0,13.638055555555557,18.0,10000.0
154.0,42.0,12.726666666666668,24.0,10000.0
143.0,54.0,15.035555555555556,27.0,10000.0
80.0,49.0,14.67388888888889,28.0,5600.0
138.0,36.0,13.658611111111112,23.0,6000.0
161.0,49.0,13.911111111111111,24.0,3200.0
63.0,55.0,17.93,21.0,9000.0
199.0,32.0,14.491666666666667,24.0,3200.0
193.0,53.0,20.648611111111112,23.0,3200.0
221.0,60.0,23.61611111111111,22.0,3200.0
60.0,39.0,12.227777777777778,28.0,5600.0
103.0,48.0,9.720833333333331,12.0,4000.0
159.0,28.0,14.17388888888889,22.0,3200.0
130.0,29.0,16.71,25.0,10000.0
66.0,31.0,13.108611111111111,6.0,11000.0
63.0,45.0,15.013333333333334,8.0,11000.0
221.0,49.0,19.345277777777778,22.0,3200.0
79.0,66.0,27.63222222222222,9.0,11000.0
199.0,43.0,15.726666666666668,24.0,3200.0
156.0,30.0,7.383888888888888,23.0,6000.0
103.0,30.0,10.27777777777778,12.0,4000.0
166.0,54.0,17.58888888888889,24.0,10000.0
201.0,34.0,14.810277777777776,23.0,10000.0
71.0,56.0,25.355833333333333,12.0,11000.0
66.0,45.0,16.683888888888887,15.0,11000.0
161.0,38.0,12.805277777777778,24.0,3200.0
138.0,29.0,15.3725,23.0,6000.0
76.0,42.0,16.929444444444446,9.0,11000.0
197.0,39.0,18.845277777777778,18.0,3200.0
63.0,55.0,18.176666666666662,21.0,9000.0
82.0,31.0,13.441944444444443,10.0,11000.0
102.0,30.0,12.964722222222225,20.0,3200.0
156.0,54.0,12.291666666666666,23.0,6000.0
52.0,44.0,18.4175,13.0,6000.0
63.0,69.0,18.176666666666662,21.0,9000.0
87.0,49.0,13.131388888888887,11.0,4000.0
172.0,46.0,14.098333333333333,22.0,10000.0
201.0,35.0,11.252222222222224,23.0,10000.0
172.0,45.0,13.428333333333333,22.0,10000.0
100.0,20.0,10.654722222222222,15.0,4000.0
123.0,40.0,19.241666666666667,26.0,3200.0
55.0,29.0,17.59027777777778,28.0,5600.0
97.0,52.0,11.378055555555555,18.0,3200.0
66.0,55.0,20.05,15.0,11000.0
97.0,25.0,10.281944444444443,28.0,5600.0
40.0,66.0,17.01527777777778,20.0,9000.0
61.0,68.0,17.934722222222224,21.0,9000.0
172.0,26.0,17.815,22.0,10000.0
97.0,38.0,17.504722222222224,28.0,5600.0
140.0,41.0,11.839722222222225,19.0,10000.0
108.0,39.0,9.752222222222224,22.0,6000.0
80.0,47.0,17.60361111111111,28.0,5600.0
146.0,46.0,13.85361111111111,21.0,6000.0
83.0,27.0,14.175555555555556,28.0,5600.0
154.0,34.0,14.64638888888889,24.0,10000.0
143.0,32.0,13.178888888888888,27.0,10000.0
78.0,37.0,8.953888888888889,19.0,4000.0
84.0,64.0,12.660277777777775,10.0,4000.0
156.0,36.0,9.5825,23.0,6000.0
109.0,37.0,16.311666666666667,19.0,3200.0
154.0,43.0,10.609444444444444,24.0,10000.0
128.0,60.0,17.415,21.0,10000.0
140.0,45.0,10.539166666666668,19.0,10000.0
138.0,45.0,11.644722222222224,23.0,6000.0
146.0,25.0,13.435277777777776,21.0,6000.0
102.0,49.0,13.256388888888887,20.0,3200.0
172.0,37.0,13.567222222222222,22.0,10000.0
55.0,71.0,21.5425,26.0,9000.0
55.0,45.0,28.45,21.0,11000.0
172.0,45.0,12.820833333333333,22.0,10000.0
55.0,37.0,16.35361111111111,21.0,11000.0
102.0,51.0,15.325833333333334,20.0,3200.0
161.0,25.0,19.977222222222224,24.0,3200.0
84.0,50.0,10.663611111111113,10.0,4000.0
170.0,44.0,14.498333333333331,26.0,10000.0
63.0,31.0,17.84777777777778,8.0,11000.0
170.0,21.0,11.226944444444444,26.0,10000.0
83.0,52.0,15.69111111111111,28.0,5600.0
166.0,52.0,16.875555555555554,24.0,10000.0
170.0,39.0,10.46861111111111,26.0,10000.0
172.0,50.0,13.954444444444444,22.0,10000.0
221.0,43.0,18.509722222222223,22.0,3200.0
42.0,45.0,13.5825,20.0,6000.0
80.0,35.0,12.425833333333332,28.0,5600.0
100.0,45.0,9.377222222222224,15.0,4000.0
81.0,58.0,16.42527777777778,28.0,5600.0
97.0,19.0,16.226388888888888,18.0,3200.0
140.0,27.0,11.625833333333333,19.0,10000.0
193.0,54.0,18.795277777777777,23.0,3200.0
164.0,40.0,14.994444444444444,26.0,6000.0
124.0,22.0,10.690555555555555,9.0,4000.0
146.0,36.0,9.46527777777778,21.0,6000.0
49.0,48.0,13.634444444444444,18.0,6000.0
146.0,46.0,11.6575,21.0,6000.0
156.0,34.0,13.775,23.0,6000.0
128.0,41.0,9.453888888888889,21.0,10000.0
159.0,62.0,14.911111111111111,22.0,3200.0
82.0,62.0,23.646944444444443,10.0,11000.0
201.0,38.0,11.475,23.0,10000.0
172.0,35.0,17.422777777777778,22.0,10000.0
154.0,45.0,15.417222222222222,24.0,10000.0
109.0,39.0,12.6425,11.0,4000.0
201.0,27.0,11.199444444444444,23.0,10000.0
109.0,59.0,14.476111111111113,17.0,4000.0
63.0,30.0,13.179166666666667,21.0,9000.0
140.0,37.0,15.236944444444443,19.0,10000.0
82.0,60.0,18.544444444444444,10.0,11000.0
193.0,51.0,15.284166666666666,23.0,3200.0
103.0,50.0,13.739166666666666,12.0,4000.0
159.0,30.0,14.655555555555557,22.0,3200.0
108.0,57.0,11.492222222222225,22.0,6000.0
197.0,59.0,17.335555555555555,18.0,3200.0
97.0,49.0,19.75,28.0,5600.0
109.0,52.0,16.748333333333335,19.0,3200.0
60.0,45.0,10.778333333333334,28.0,5600.0
172.0,46.0,16.136666666666667,22.0,10000.0
66.0,34.0,11.084444444444443,15.0,11000.0
63.0,56.0,29.601944444444445,8.0,11000.0
109.0,25.0,9.169166666666667,11.0,4000.0
108.0,31.0,12.095,22.0,6000.0
141.0,45.0,16.298333333333332,19.0,10000.0
58.0,45.0,9.884444444444444,22.0,6000.0
199.0,45.0,11.67,24.0,3200.0
82.0,39.0,21.28,10.0,11000.0
84.0,51.0,12.6,10.0,4000.0
97.0,28.0,13.186666666666667,28.0,5600.0
126.0,50.0,15.851666666666668,15.0,3200.0
151.0,42.0,10.036111111111111,23.0,6000.0
109.0,41.0,10.817777777777778,19.0,3200.0
140.0,28.0,11.852222222222222,22.0,6000.0
108.0,36.0,11.133888888888889,22.0,6000.0
66.0,45.0,16.93861111111111,6.0,11000.0
143.0,38.0,13.3675,27.0,10000.0
100.0,36.0,9.760555555555555,4.0,4000.0
28.0,32.0,15.421388888888888,22.0,9000.0
97.0,26.0,15.500555555555556,28.0,5600.0
170.0,31.0,14.375833333333333,26.0,10000.0
193.0,54.0,19.44333333333333,23.0,3200.0
124.0,49.0,12.40277777777778,9.0,4000.0
143.0,46.0,9.629166666666666,27.0,10000.0
66.0,46.0,15.4925,15.0,11000.0
60.0,46.0,14.57972222222222,27.0,5600.0
49.0,52.0,16.789444444444445,10.0,11000.0
128.0,27.0,13.539722222222222,21.0,10000.0
91.0,46.0,11.229166666666666,28.0,5600.0
100.0,63.0,11.985,4.0,4000.0
130.0,57.0,14.171944444444444,25.0,10000.0
83.0,31.0,17.375833333333333,25.0,3200.0
99.0,40.0,10.396944444444443,18.0,4000.0
193.0,43.0,16.504444444444445,23.0,3200.0
91.0,43.0,15.613333333333332,28.0,5600.0
79.0,48.0,19.62638888888889,9.0,11000.0
55.0,28.0,13.981944444444444,26.0,9000.0
140.0,39.0,10.9425,19.0,10000.0
89.0,33.0,14.595833333333331,23.0,6000.0
221.0,59.0,19.556944444444444,22.0,3200.0
103.0,52.0,13.547777777777778,13.0,4000.0
164.0,51.0,11.841111111111111,26.0,6000.0
166.0,60.0,12.956388888888888,24.0,10000.0
193.0,29.0,9.75361111111111,23.0,3200.0
199.0,59.0,17.246111111111112,24.0,3200.0
221.0,46.0,16.317777777777778,22.0,3200.0
84.0,39.0,9.525277777777776,10.0,4000.0
166.0,48.0,14.062222222222225,24.0,10000.0
164.0,42.0,11.344444444444443,26.0,6000.0
58.0,40.0,15.939444444444444,28.0,5600.0
66.0,48.0,17.39611111111111,6.0,11000.0
57.0,39.0,10.658333333333331,19.0,3200.0
140.0,47.0,11.023333333333332,19.0,10000.0
92.0,27.0,8.462222222222222,15.0,4000.0
55.0,36.0,13.23611111111111,21.0,11000.0
199.0,39.0,23.714166666666667,24.0,3200.0
199.0,46.0,14.789722222222222,24.0,3200.0
160.0,44.0,16.435277777777777,21.0,6000.0
68.0,50.0,13.596388888888889,22.0,9000.0
123.0,50.0,24.805833333333332,26.0,3200.0
60.0,33.0,13.453333333333331,27.0,5600.0
57.0,28.0,12.543333333333331,24.0,9000.0
60.0,44.0,14.259722222222225,28.0,5600.0
161.0,28.0,18.811666666666667,24.0,3200.0
50.0,33.0,15.9125,18.0,11000.0
159.0,74.0,18.435277777777777,22.0,3200.0
66.0,33.0,15.462222222222222,15.0,11000.0
36.0,42.0,17.478055555555557,27.0,5600.0
201.0,32.0,15.80888888888889,23.0,10000.0
103.0,44.0,12.997777777777776,13.0,4000.0
100.0,77.0,13.845833333333331,4.0,4000.0
109.0,48.0,14.6675,19.0,3200.0
123.0,45.0,14.895555555555555,26.0,3200.0
60.0,53.0,11.742777777777778,28.0,5600.0
91.0,65.0,14.018888888888888,28.0,5600.0
92.0,52.0,12.66611111111111,15.0,4000.0
160.0,52.0,10.125555555555556,21.0,6000.0
124.0,32.0,7.909722222222222,9.0,4000.0
140.0,33.0,12.8025,19.0,10000.0
140.0,42.0,9.45861111111111,22.0,6000.0
199.0,50.0,14.610555555555557,24.0,3200.0
96.0,51.0,11.824722222222222,12.0,4000.0
28.0,62.0,15.5125,22.0,9000.0
103.0,39.0,10.315555555555555,13.0,4000.0
159.0,29.0,13.76388888888889,22.0,3200.0
103.0,46.0,12.95138888888889,12.0,4000.0
80.0,35.0,16.387777777777778,28.0,5600.0
159.0,71.0,16.844722222222224,22.0,3200.0
160.0,40.0,9.924444444444443,21.0,6000.0
87.0,35.0,12.917222222222222,11.0,4000.0
141.0,50.0,10.786111111111111,19.0,10000.0
82.0,36.0,14.365555555555556,10.0,11000.0
49.0,46.0,10.251944444444444,10.0,11000.0
63.0,41.0,18.965555555555557,8.0,11000.0
126.0,64.0,16.94472222222222,15.0,3200.0
140.0,47.0,12.920555555555556,22.0,6000.0
170.0,38.0,11.24611111111111,26.0,10000.0
34.0,59.0,19.683611111111112,22.0,6000.0
50.0,48.0,13.687777777777775,18.0,9000.0
75.0,63.0,20.481666666666666,17.0,6000.0
81.0,50.0,15.131388888888887,28.0,5600.0
201.0,46.0,11.837222222222222,23.0,10000.0
124.0,62.0,12.036666666666669,9.0,4000.0
166.0,27.0,10.183333333333334,24.0,10000.0
97.0,44.0,16.349722222222223,18.0,3200.0
172.0,47.0,9.914722222222222,22.0,10000.0
197.0,35.0,12.588611111111112,18.0,3200.0
140.0,36.0,13.947777777777778,19.0,10000.0
170.0,40.0,16.183611111111112,26.0,10000.0
83.0,38.0,12.402222222222225,28.0,5600.0
151.0,57.0,14.886666666666668,23.0,6000.0
172.0,50.0,14.238333333333332,22.0,10000.0
140.0,48.0,14.013333333333334,22.0,6000.0
55.0,41.0,11.04,28.0,5600.0
156.0,28.0,13.166666666666666,23.0,6000.0
97.0,69.0,17.156666666666666,18.0,3200.0
146.0,42.0,11.103333333333332,21.0,6000.0
66.0,52.0,15.025833333333331,15.0,11000.0
201.0,30.0,14.95138888888889,23.0,10000.0
189.0,39.0,17.550555555555555,21.0,6000.0
143.0,38.0,11.210833333333332,27.0,10000.0
40.0,44.0,14.723888888888888,20.0,9000.0
123.0,55.0,19.89611111111111,26.0,3200.0
103.0,27.0,13.427222222222222,12.0,4000.0
221.0,29.0,14.314444444444444,22.0,3200.0
199.0,36.0,10.139444444444443,24.0,3200.0
141.0,61.0,13.14611111111111,19.0,10000.0
156.0,50.0,15.352222222222222,23.0,6000.0
103.0,44.0,11.024444444444445,13.0,4000.0
141.0,33.0,14.039722222222222,19.0,10000.0
159.0,65.0,17.721944444444443,22.0,3200.0
40.0,43.0,12.886388888888888,20.0,9000.0
159.0,39.0,18.698055555555555,22.0,3200.0
87.0,33.0,11.807777777777778,11.0,4000.0
55.0,55.0,15.530555555555557,26.0,9000.0
170.0,42.0,17.49361111111111,26.0,10000.0
124.0,45.0,14.466388888888888,9.0,4000.0
193.0,38.0,20.37611111111111,23.0,3200.0
35.0,38.0,14.413333333333334,13.0,6000.0
103.0,61.0,17.787222222222223,13.0,4000.0
102.0,48.0,18.90194444444445,20.0,3200.0
68.0,40.0,17.892777777777777,22.0,9000.0
26.0,48.0,14.2425,23.0,6000.0
102.0,58.0,17.281944444444445,20.0,3200.0
55.0,44.0,12.735277777777778,28.0,5600.0
109.0,38.0,10.2225,11.0,4000.0
124.0,28.0,12.479722222222222,9.0,4000.0
109.0,45.0,10.907222222222222,17.0,4000.0
103.0,64.0,14.42027777777778,12.0,4000.0
109.0,57.0,13.239444444444445,11.0,4000.0
172.0,36.0,13.1275,22.0,10000.0
221.0,33.0,15.02777777777778,22.0,3200.0
77.0,48.0,20.171666666666667,29.0,5600.0
189.0,38.0,10.468055555555557,21.0,6000.0
160.0,51.0,9.85361111111111,21.0,6000.0
103.0,48.0,12.310277777777776,13.0,4000.0
199.0,43.0,15.176944444444445,24.0,3200.0
130.0,43.0,14.773055555555556,25.0,10000.0
166.0,41.0,16.88222222222222,24.0,10000.0
65.0,28.0,13.62861111111111,9.0,11000.0
189.0,39.0,11.517777777777775,21.0,6000.0
100.0,39.0,14.303888888888888,15.0,4000.0
103.0,53.0,8.645833333333334,13.0,4000.0
63.0,47.0,16.795555555555556,8.0,11000.0
109.0,51.0,13.6525,11.0,4000.0
66.0,64.0,15.980555555555556,15.0,11000.0
146.0,53.0,11.22222222222222,21.0,6000.0
67.0,42.0,13.227777777777778,17.0,9000.0
66.0,41.0,11.091388888888888,6.0,11000.0
161.0,49.0,18.66638888888889,24.0,3200.0
193.0,47.0,15.476944444444444,23.0,3200.0
92.0,43.0,11.273055555555556,15.0,4000.0
34.0,39.0,11.776944444444444,22.0,6000.0
172.0,38.0,9.469166666666666,22.0,10000.0
130.0,37.0,17.435555555555556,25.0,10000.0
49.0,33.0,11.595833333333331,18.0,6000.0
109.0,56.0,11.898333333333332,17.0,4000.0
170.0,40.0,11.905277777777778,26.0,10000.0
221.0,41.0,16.781666666666666,22.0,3200.0
170.0,56.0,13.416944444444445,26.0,10000.0
57.0,31.0,14.276111111111112,19.0,3200.0
65.0,40.0,21.11861111111111,9.0,11000.0
221.0,39.0,19.5475,22.0,3200.0
87.0,43.0,12.339166666666667,11.0,4000.0
109.0,71.0,19.420833333333334,19.0,3200.0
140.0,44.0,11.321111111111112,22.0,6000.0
161.0,36.0,16.309444444444445,24.0,3200.0
189.0,38.0,12.301111111111112,21.0,6000.0
166.0,31.0,10.514444444444443,24.0,10000.0
201.0,33.0,11.737777777777778,23.0,10000.0
92.0,50.0,10.809722222222222,15.0,4000.0
40.0,38.0,10.29861111111111,20.0,9000.0
164.0,44.0,12.601666666666668,26.0,6000.0
65.0,47.0,12.3325,9.0,11000.0
81.0,35.0,13.261111111111113,28.0,5600.0
138.0,40.0,9.843333333333334,23.0,6000.0
40.0,54.0,19.198055555555555,20.0,9000.0
172.0,43.0,15.681111111111113,22.0,10000.0
140.0,52.0,11.473055555555556,22.0,6000.0
81.0,57.0,14.234444444444444,28.0,5600.0
170.0,50.0,19.63138888888889,26.0,10000.0
